Problem ID,Problem Name,Title Tags,Plain Tags,Number Solved,Complexity,Class
725E,Too Much Money,Brute force,brute force,306,0.298,Easy,
725D,Contest Balloons,Heaps binary search trees segment trees hash tables etc|Greedy algorithms,data structures|greedy,1468,0.739,Hard,
725C,Hidden Word,Brute force|Constructive algorithms|Implementation problems programming technics simulation,brute force|constructive algorithms|implementation,1832,0.433,Medium,
725B,Food on the Plane,Mathematics including integration differential equations etc,math,3432,0.366,Easy,
725A,Jumping Ball,Implementation problems programming technics simulation,implementation,4040,0.0,Easy,
724G,Xor-matic Number of the Graph,Bitmasks|Graphs|Mathematics including integration differential equations etc|Trees,bitmasks|graphs|math|trees,212,0.756,Hard,
724F,Uniformly Branched Trees,Combinatorics,combinatorics,72,0.687,Medium,
724E,Goods transportation,Dynamic programming|Graph network flows,dp|flows,315,0.877,Hard,
724D,Dense Subsequence,Heaps binary search trees segment trees hash tables etc|Greedy algorithms,data structures|greedy,1445,0.739,Hard,
724C,Ray Tracing,Greedy algorithms|Hashing hashtables|Implementation problems programming technics simulation|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,greedy|hashing|implementation|math|number theory,1404,0.714,Medium,
724B,Batch Sort,Brute force|Greedy algorithms|Implementation problems programming technics simulation,brute force|greedy|implementation,2742,0.353,Easy,
724A,Checking the Calendar,Implementation problems programming technics simulation,implementation,4475,0.0,Easy,
723F,st-Spanning Tree,Disjoint set union|Graphs|Greedy algorithms|Implementation problems programming technics simulation,dsu|graphs|greedy|implementation,680,0.705,Medium,
723E,One-Way Reform,Constructive algorithms|Dfs and similar|Graph network flows|Graphs|Greedy algorithms,constructive algorithms|dfs and similar|flows|graphs|greedy,678,0.877,Hard,
723D,Lakes in Berland,Dfs and similar|Disjoint set union|Greedy algorithms,dfs and similar|dsu|greedy,2834,0.686,Medium,
723C,Polycarp at the Radio,Greedy algorithms,greedy,2940,0.353,Easy,
723B,Text Document Analysis,Parsing expression grammar|Implementation problems programming technics simulation,expression parsing|implementation,5606,0.713,Medium,
723A,The New Year: Meeting Friends,Sortings orderings,sortings,7933,0.275,Easy,
722F,Cyclic Cipher,Сhinese remainder theorem|Implementation problems programming technics simulation|Number theory: Euler function GCD divisibility etc|Two pointers,chinese remainder theorem|implementation|number theory|two pointers,174,0.663,Medium,
722E,Research Rover,Combinatorics|Dynamic programming,combinatorics|dp,157,0.706,Medium,
722D,Generating Sets,Binary search|Heaps binary search trees segment trees hash tables etc|Dfs and similar|Greedy algorithms,binary search|data structures|dfs and similar|greedy,1805,0.739,Hard,
722C,Destroying Array,Heaps binary search trees segment trees hash tables etc|Disjoint set union,data structures|dsu,2800,0.739,Hard,
722B,Verse Pattern,Implementation problems programming technics simulation|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,implementation|strings,4197,0.331,Easy,
722A,Broken Clock,Brute force|Implementation problems programming technics simulation,brute force|implementation,4285,0.298,Easy,
721E,Road to Home,Binary search|Dynamic programming,binary search|dp,127,0.706,Medium,
721D,Maxim and Array,Constructive algorithms|Heaps binary search trees segment trees hash tables etc|Greedy algorithms,constructive algorithms|data structures|greedy,1243,0.739,Hard,
721C,Journey,Dynamic programming|Graphs,dp|graphs,2019,0.706,Medium,
721B,Passwords,Sortings orderings|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,sortings|strings,5592,0.331,Easy,
721A,One-dimensional Japanese Crossword,Implementation problems programming technics simulation,implementation,7292,0.0,Easy,
720F,Array Covering,,,11,0.938,Hard,
720E,Cipher,,,11,0.938,Hard,
720D,Slalom,Heaps binary search trees segment trees hash tables etc|Dynamic programming,data structures|dp,18,0.739,Hard,
720C,Homework,,,16,0.938,Hard,
720B,Cactusophobia,Dfs and similar|Graph network flows,dfs and similar|flows,112,0.877,Hard,
720A,Closing ceremony,Greedy algorithms,greedy,233,0.353,Easy,
719B,Anatoly and Cockroaches,Greedy algorithms,greedy,4519,0.353,Easy,
719A,Vitya in the Countryside,Implementation problems programming technics simulation,implementation,6897,0.0,Easy,
718E,Matvey's Birthday,Graphs,graphs,20,0.705,Medium,
718D,Andrew and Chemistry,Hashing hashtables|Trees,hashing|trees,85,0.756,Hard,
718C,Sasha and Array,Heaps binary search trees segment trees hash tables etc|Mathematics including integration differential equations etc|Matrix multiplication determinant Cramer's rule systems of linear equations,data structures|math|matrices,913,0.861,Hard,
718A,Efim and Strange Grade,Implementation problems programming technics simulation,implementation,2748,0.0,Easy,
717I,Cowboy Beblop at his computer,,,17,0.938,Hard,
717H,Pokermon League challenge,Probabilities expected values statistics random variables etc,probabilities,240,0.802,Hard,
717G,Underfail,Graph network flows,flows,256,0.877,Hard,
717F,Heroes of Making Magic III,Heaps binary search trees segment trees hash tables etc,data structures,121,0.739,Hard,
717E,Paint it really really dark gray,Dfs and similar,dfs and similar,789,0.645,Medium,
717D,Dexterina’s Lab,Games Sprague–Grundy theorem|Matrix multiplication determinant Cramer's rule systems of linear equations|Probabilities expected values statistics random variables etc,games|matrices|probabilities,658,0.861,Hard,
717C,Potions Homework,Implementation problems programming technics simulation|Sortings orderings,implementation|sortings,1889,0.275,Easy,
717B,R3D3’s Summer Adventure,Greedy algorithms,greedy,45,0.353,Easy,
717A,Festival Organization,Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,math|number theory,52,0.489,Medium,
716B,Complete the Word,Two pointers,two pointers,4727,0.528,Medium,
716A,Crazy Computer,Implementation problems programming technics simulation,implementation,7550,0.0,Easy,
715E,Complete the Permutations,,,19,0.938,Hard,
715D,Create a Maze,Constructive algorithms,constructive algorithms,61,0.433,Medium,
715C,Digit Tree,Divide and Conquer|Disjoint set union,divide and conquer|dsu,335,0.857,Hard,
715B,Complete The Graph,Binary search|Constructive algorithms|Graphs|Shortest paths on weighted and unweighted graphs,binary search|constructive algorithms|graphs|shortest paths,932,0.732,Hard,
715A,Plus and Square Root,Constructive algorithms|Mathematics including integration differential equations etc,constructive algorithms|math,3640,0.433,Medium,
714B,Filya and Homework,Implementation problems programming technics simulation,implementation,4906,0.0,Easy,
714A,Meeting of Old Friends,Mathematics including integration differential equations etc,math,5560,0.366,Easy,
713E,Sonya Partymaker,,,29,0.938,Hard,
713D,Animals and Puzzle,Binary search|Heaps binary search trees segment trees hash tables etc,binary search|data structures,316,0.739,Hard,
713C,Sonya and Problem Wihtout a Legend,Dynamic programming|Sortings orderings,dp|sortings,834,0.706,Medium,
713B,Searching Rectangles,Binary search|Constructive algorithms,binary search|constructive algorithms,819,0.582,Medium,
713A,Sonya and Queries,Heaps binary search trees segment trees hash tables etc,data structures,4103,0.739,Hard,
712E,Memory and Casinos,Heaps binary search trees segment trees hash tables etc|Mathematics including integration differential equations etc|Probabilities expected values statistics random variables etc,data structures|math|probabilities,211,0.802,Hard,
712D,Memory and Scores,Combinatorics|Dynamic programming,combinatorics|dp,754,0.706,Medium,
712C,Memory and De-Evolution,Greedy algorithms|Mathematics including integration differential equations etc,greedy|math,3187,0.366,Easy,
712B,Memory and Trident,Implementation problems programming technics simulation,implementation,4808,0.0,Easy,
712A,Memory and Crow,Implementation problems programming technics simulation,implementation,5847,0.0,Easy,
711E,ZS and The Birthday Paradox,Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc|Probabilities expected values statistics random variables etc,math|number theory|probabilities,718,0.802,Hard,
711D,Directed Roads,Combinatorics|Dfs and similar|Graphs|Mathematics including integration differential equations etc,combinatorics|dfs and similar|graphs|math,1977,0.705,Medium,
711C,Coloring Trees,Dynamic programming,dp,3065,0.706,Medium,
711B,Chris and Magic Square,Constructive algorithms,constructive algorithms,5213,0.433,Medium,
711A,Bus to Udayland,Brute force|Implementation problems programming technics simulation,brute force|implementation,8440,0.298,Easy,
710F,String Set Queries,Brute force|Heaps binary search trees segment trees hash tables etc|Hashing hashtables|Suffix arrays suffix trees suffix automatas etc|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,brute force|data structures|hashing|string suffix structures|strings,180,0.825,Hard,
710E,Generate a String,Dfs and similar|Dynamic programming,dfs and similar|dp,1705,0.706,Medium,
710D,Two Arithmetic Progressions,Mathematics including integration differential equations etc,math,323,0.366,Easy,
710C,Magic Odd Square,Constructive algorithms,constructive algorithms,2512,0.433,Medium,
710B,Optimal Point on a Line,Brute force|Sortings orderings,brute force|sortings,3804,0.298,Easy,
710A,King Moves,Implementation problems programming technics simulation,implementation,5596,0.0,Easy,
709B,Checkpoints,Implementation problems programming technics simulation|Sortings orderings,implementation|sortings,3044,0.275,Easy,
709A,Juicer,Implementation problems programming technics simulation,implementation,5478,0.0,Easy,
708E,Student's Camp,Dynamic programming|Mathematics including integration differential equations etc,dp|math,76,0.706,Medium,
708D,Incorrect Flow,Graph network flows,flows,128,0.877,Hard,
708C,Centroids,Heaps binary search trees segment trees hash tables etc|Dfs and similar|Dynamic programming|Greedy algorithms|Trees,data structures|dfs and similar|dp|greedy|trees,751,0.756,Hard,
708B,Recover the String,Constructive algorithms|Implementation problems programming technics simulation|Mathematics including integration differential equations etc,constructive algorithms|implementation|math,1857,0.433,Medium,
708A,Letters Cyclic Shift,Constructive algorithms|Implementation problems programming technics simulation,constructive algorithms|implementation,4961,0.433,Medium,
707E,Garlands,Heaps binary search trees segment trees hash tables etc,data structures,466,0.739,Hard,
707D,Persistent Bookcase,Heaps binary search trees segment trees hash tables etc|Dfs and similar|Implementation problems programming technics simulation,data structures|dfs and similar|implementation,1250,0.739,Hard,
707C,Pythagorean Triples,Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,math|number theory,4230,0.489,Medium,
707B,Bakery,Graphs,graphs,5181,0.705,Medium,
707A,Brain's Photos,Implementation problems programming technics simulation,implementation,7951,0.0,Easy,
706E,Working routine,Heaps binary search trees segment trees hash tables etc|Implementation problems programming technics simulation,data structures|implementation,555,0.739,Hard,
706D,Vasiliy's Multiset,Binary search|Heaps binary search trees segment trees hash tables etc|Trees,binary search|data structures|trees,2354,0.756,Hard,
706C,Hard problem,Dynamic programming,dp,3813,0.706,Medium,
706B,Interesting drink,Binary search|Implementation problems programming technics simulation,binary search|implementation,6463,0.582,Medium,
706A,Beru-taxi,Brute force|Geometry computational geometry|Implementation problems programming technics simulation,brute force|geometry|implementation,6921,0.781,Hard,
705B,Spider Man,Games Sprague–Grundy theorem,games,5113,0.663,Medium,
705A,Hulk,Implementation problems programming technics simulation,implementation,8420,0.0,Easy,
704E,Iron Man,Geometry computational geometry|Trees,geometry|trees,29,0.781,Hard,
704D,Captain America,Graph network flows,flows,80,0.877,Hard,
704C,Black Widow,Dynamic programming|Implementation problems programming technics simulation,dp|implementation,103,0.706,Medium,
704B,Ant Man,Dynamic programming|Graphs|Greedy algorithms,dp|graphs|greedy,476,0.706,Medium,
704A,Thor,Brute force|Heaps binary search trees segment trees hash tables etc|Implementation problems programming technics simulation,brute force|data structures|implementation,3641,0.739,Hard,
703E,Mishka and Divisors,Dynamic programming|Number theory: Euler function GCD divisibility etc,dp|number theory,249,0.706,Medium,
703D,Mishka and Interesting sum,Heaps binary search trees segment trees hash tables etc,data structures,1312,0.739,Hard,
703C,Chris and Road,Geometry computational geometry|Implementation problems programming technics simulation,geometry|implementation,1062,0.781,Hard,
703B,Mishka and trip,Implementation problems programming technics simulation|Mathematics including integration differential equations etc,implementation|math,4164,0.366,Easy,
703A,Mishka and Game,Implementation problems programming technics simulation,implementation,7896,0.0,Easy,
702F,T-Shirts,Heaps binary search trees segment trees hash tables etc,data structures,85,0.739,Hard,
702E,Analysis of Pathes in Functional Graph,Heaps binary search trees segment trees hash tables etc|Graphs,data structures|graphs,716,0.739,Hard,
702D,Road to Post Office,Mathematics including integration differential equations etc,math,1610,0.366,Easy,
702C,Cellular Network,Binary search|Two pointers,binary search|two pointers,2580,0.582,Medium,
702B,Powers of Two,Brute force|Heaps binary search trees segment trees hash tables etc|Implementation problems programming technics simulation,brute force|data structures|implementation,3176,0.739,Hard,
702A,Maximum Increase,Dynamic programming|Greedy algorithms|Implementation problems programming technics simulation,dp|greedy|implementation,5481,0.706,Medium,
701C,They Are Everywhere,Binary search|Two pointers,binary search|two pointers,3917,0.582,Medium,
701B,Cells Not Under Attack,Mathematics including integration differential equations etc,math,5577,0.366,Easy,
701A,Cards,Greedy algorithms,greedy,7382,0.353,Easy,
700E,Cool Slogans,Suffix arrays suffix trees suffix automatas etc|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,string suffix structures|strings,48,0.825,Hard,
700D,Huffman Coding on Segment,Heaps binary search trees segment trees hash tables etc|Greedy algorithms,data structures|greedy,112,0.739,Hard,
700C,Break Up,Dfs and similar,dfs and similar,397,0.645,Medium,
700B,Connecting Universities,Dfs and similar|Dynamic programming|Graphs|Trees,dfs and similar|dp|graphs|trees,1401,0.756,Hard,
700A,As Fast As Possible,Binary search|Mathematics including integration differential equations etc,binary search|math,1882,0.582,Medium,
699B,One Bomb,Implementation problems programming technics simulation,implementation,4350,0.0,Easy,
699A,Launch of Collider,Implementation problems programming technics simulation,implementation,5648,0.0,Easy,
698F,Coprime Permutation,Combinatorics|Number theory: Euler function GCD divisibility etc,combinatorics|number theory,45,0.687,Medium,
698E,Cron,,,64,0.938,Hard,
698D,Limak and Shooting Points,Brute force|Geometry computational geometry,brute force|geometry,142,0.781,Hard,
698C,LRU,Bitmasks|Dynamic programming|Probabilities expected values statistics random variables etc,bitmasks|dp|probabilities,585,0.802,Hard,
698B,Fix a Tree,Constructive algorithms|Dfs and similar|Disjoint set union|Trees,constructive algorithms|dfs and similar|dsu|trees,2555,0.756,Hard,
698A,Vacations,Dynamic programming,dp,5181,0.706,Medium,
697B,Barnicle,Implementation problems programming technics simulation,implementation,3675,0.0,Easy,
697A,Pineapple Incident,Mathematics including integration differential equations etc,math,6037,0.366,Easy,
696F,...Dary!,Binary search|Geometry computational geometry|Two pointers,binary search|geometry|two pointers,11,0.781,Hard,
696E,...Wait for it...,Heaps binary search trees segment trees hash tables etc|Disjoint set union|Trees,data structures|dsu|trees,126,0.756,Hard,
696D,Legen...,Heaps binary search trees segment trees hash tables etc|Dynamic programming|Matrix multiplication determinant Cramer's rule systems of linear equations|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,data structures|dp|matrices|strings,345,0.861,Hard,
696C,PLEASE,Combinatorics|Dynamic programming|Implementation problems programming technics simulation|Mathematics including integration differential equations etc|Matrix multiplication determinant Cramer's rule systems of linear equations,combinatorics|dp|implementation|math|matrices,1023,0.861,Hard,
696B,Puzzles,Dfs and similar|Mathematics including integration differential equations etc|Probabilities expected values statistics random variables etc|Trees,dfs and similar|math|probabilities|trees,1738,0.802,Hard,
696A,Lorenzo Von Matterhorn,Heaps binary search trees segment trees hash tables etc|Implementation problems programming technics simulation|Trees,data structures|implementation|trees,3316,0.756,Hard,
691F,Couple Cover,Brute force|Dynamic programming|Number theory: Euler function GCD divisibility etc,brute force|dp|number theory,418,0.706,Medium,
691E,Xor-sequences,Matrix multiplication determinant Cramer's rule systems of linear equations,matrices,618,0.861,Hard,
691D,Swaps in Permutation,Dfs and similar|Disjoint set union,dfs and similar|dsu,1280,0.686,Medium,
691C,Exponential notation,Implementation problems programming technics simulation,implementation,1028,0.0,Easy,
691B,s-palindrome,Implementation problems programming technics simulation,implementation,2194,0.0,Easy,
691A,Fashion in Berland,Implementation problems programming technics simulation,implementation,4018,0.0,Easy,
690F3,Tree of Life (hard),Trees,trees,11,0.756,Hard,
690F2,Tree of Life (medium),Constructive algorithms|Hashing hashtables|Trees,constructive algorithms|hashing|trees,29,0.756,Hard,
690F1,Tree of Life (easy),,,1156,0.938,Hard,
690E2,Photographs (II),,,78,0.938,Hard,
690E1,Photographs (I),,,485,0.938,Hard,
690D3,The Wall (hard),,,292,0.938,Hard,
690D2,The Wall (medium),Combinatorics,combinatorics,660,0.687,Medium,
690D1,The Wall (easy),,,1286,0.938,Hard,
690C3,Brain Network (hard),Trees,trees,397,0.756,Hard,
690C2,Brain Network (medium),Dfs and similar|Graphs|Trees,dfs and similar|graphs|trees,1019,0.756,Hard,
690C1,Brain Network (easy),,,1213,0.938,Hard,
690B3,Recover Polygon (hard),,,50,0.938,Hard,
690B2,Recover Polygon (medium),Geometry computational geometry,geometry,100,0.781,Hard,
690B1,Recover Polygon (easy),,,626,0.938,Hard,
690A3,Collective Mindsets (hard),,,158,0.938,Hard,
690A2,Collective Mindsets (medium),,,265,0.938,Hard,
690A1,Collective Mindsets (easy),,,1549,0.938,Hard,
689E,Mike and Geometry Problem,Combinatorics|Heaps binary search trees segment trees hash tables etc|Implementation problems programming technics simulation,combinatorics|data structures|implementation,701,0.739,Hard,
689D,Friends and Subsequences,Binary search|Heaps binary search trees segment trees hash tables etc,binary search|data structures,1110,0.739,Hard,
689C,Mike and Chocolate Thieves,Binary search|Mathematics including integration differential equations etc,binary search|math,2178,0.582,Medium,
689B,Mike and Shortcuts,Dfs and similar,dfs and similar,2712,0.645,Medium,
689A,Mike and Cellphone,Brute force|Constructive algorithms|Implementation problems programming technics simulation,brute force|constructive algorithms|implementation,3469,0.433,Medium,
688B,Lovely Palindromes,Constructive algorithms|Mathematics including integration differential equations etc,constructive algorithms|math,6791,0.433,Medium,
688A,Opponents,Implementation problems programming technics simulation,implementation,6845,0.0,Easy,
687E,TOF,,,125,0.938,Hard,
687D,Dividing Kingdom II,Brute force|Heaps binary search trees segment trees hash tables etc|Disjoint set union|Sortings orderings,brute force|data structures|dsu|sortings,379,0.739,Hard,
687C,The Values You Can Make,Dynamic programming,dp,1940,0.706,Medium,
687B,Remainders Game,Сhinese remainder theorem|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,chinese remainder theorem|math|number theory,2111,0.663,Medium,
687A,NP-Hard Problem,Dfs and similar|Graphs,dfs and similar|graphs,4261,0.705,Medium,
686B,Little Robber Girl's Zoo,Constructive algorithms|Implementation problems programming technics simulation|Sortings orderings,constructive algorithms|implementation|sortings,4759,0.433,Medium,
686A,Free Ice Cream,Constructive algorithms|Implementation problems programming technics simulation,constructive algorithms|implementation,6820,0.433,Medium,
685E,Travelling Through the Snow Queen's Kingdom,Brute force|Graphs,brute force|graphs,162,0.705,Medium,
685D,Kay and Eternity,Brute force,brute force,233,0.298,Easy,
685C,Optimal Point,Binary search|Mathematics including integration differential equations etc,binary search|math,158,0.582,Medium,
685B,Kay and Snowflake,Heaps binary search trees segment trees hash tables etc|Dfs and similar|Trees,data structures|dfs and similar|trees,1455,0.756,Hard,
685A,Robbers' watch,Brute force|Dynamic programming|Mathematics including integration differential equations etc,brute force|dp|math,2759,0.706,Medium,
683J,The Hero with Bombs,,,10,0.938,Hard,
683I,Loader,,,17,0.938,Hard,
683H,Exchange of Books,,,66,0.938,Hard,
683G,The Fraction,,,101,0.938,Hard,
683F,Reformat the String,,,112,0.938,Hard,
683E,Hammer throwing,,,153,0.938,Hard,
683D,Chocolate Bar,,,229,0.938,Hard,
683C,Symmetric Difference,,,255,0.938,Hard,
683B,The Teacher of Physical Education,,,269,0.938,Hard,
683A,The Check of the Point,,,498,0.938,Hard,
682E,Alyona and Triangles,Geometry computational geometry|Two pointers,geometry|two pointers,274,0.781,Hard,
682D,Alyona and Strings,Dynamic programming|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,dp|strings,1495,0.706,Medium,
682C,Alyona and the Tree,Dfs and similar|Dynamic programming|Trees,dfs and similar|dp|trees,2601,0.756,Hard,
682B,Alyona and Mex,Sortings orderings,sortings,4858,0.275,Easy,
682A,Alyona and Numbers,Constructive algorithms|Number theory: Euler function GCD divisibility etc,constructive algorithms|number theory,5559,0.489,Medium,
681E,Runaway to a Shadow,Geometry computational geometry,geometry,253,0.781,Hard,
681D,Gifts by the List,Dfs and similar|Trees,dfs and similar|trees,1042,0.756,Hard,
681C,Heap Operations,Heaps binary search trees segment trees hash tables etc|Greedy algorithms,data structures|greedy,2848,0.739,Hard,
681B,Economy Game,Brute force,brute force,4763,0.298,Easy,
681A,A Good Contest,Implementation problems programming technics simulation,implementation,6305,0.0,Easy,
680B,Bear and Finding Criminals,Constructive algorithms|Implementation problems programming technics simulation,constructive algorithms|implementation,5560,0.433,Medium,
680A,Bear and Five Cards,Constructive algorithms|Implementation problems programming technics simulation,constructive algorithms|implementation,6201,0.433,Medium,
679E,Bear and Bad Powers of 42,Heaps binary search trees segment trees hash tables etc,data structures,63,0.739,Hard,
679D,Bear and Chase,Brute force|Dfs and similar|Implementation problems programming technics simulation,brute force|dfs and similar|implementation,140,0.645,Medium,
679C,Bear and Square Grid,Dfs and similar|Disjoint set union|Implementation problems programming technics simulation,dfs and similar|dsu|implementation,689,0.686,Medium,
679B,Bear and Tower of Cubes,Dynamic programming|Greedy algorithms,dp|greedy,1270,0.706,Medium,
679A,Bear and Prime 100,Constructive algorithms,constructive algorithms,4415,0.433,Medium,
678F,Lena and Queries,Heaps binary search trees segment trees hash tables etc|Divide and Conquer|Geometry computational geometry,data structures|divide and conquer|geometry,131,0.857,Hard,
678E,Another Sith Tournament,Bitmasks|Dynamic programming,bitmasks|dp,554,0.728,Medium,
678D,Iterated Linear Function,Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,math|number theory,1526,0.489,Medium,
678C,Joty and Chocolate,Implementation problems programming technics simulation|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,implementation|math|number theory,2614,0.489,Medium,
678B,The Same Calendar,Implementation problems programming technics simulation,implementation,2093,0.0,Easy,
678A,Johny Likes Numbers,Implementation problems programming technics simulation,implementation,4466,0.0,Easy,
677E,Vanya and Balloons,Binary search|Brute force|Dynamic programming|Implementation problems programming technics simulation,binary search|brute force|dp|implementation,351,0.706,Medium,
677D,Vanya and Treasure,Heaps binary search trees segment trees hash tables etc|Graphs,data structures|graphs,789,0.739,Hard,
677C,Vanya and Label,Implementation problems programming technics simulation,implementation,3408,0.0,Easy,
677B,Vanya and Food Processor,Implementation problems programming technics simulation|Mathematics including integration differential equations etc,implementation|math,4453,0.366,Easy,
677A,Vanya and Fence,Implementation problems programming technics simulation,implementation,8085,0.0,Easy,
676E,The Last Fight Between Human and AI,Mathematics including integration differential equations etc,math,636,0.366,Easy,
676D,Theseus and labyrinth,Implementation problems programming technics simulation|Shortest paths on weighted and unweighted graphs,implementation|shortest paths,1165,0.732,Hard,
676C,Vasya and String,Binary search|Dynamic programming|Two pointers,binary search|dp|two pointers,3715,0.706,Medium,
676B,Pyramid of Glasses,Implementation problems programming technics simulation,implementation,3448,0.0,Easy,
676A,Nicholas and Permutation,Implementation problems programming technics simulation,implementation,6467,0.0,Easy,
675E,Trains and Statistic,Heaps binary search trees segment trees hash tables etc|Dynamic programming|Greedy algorithms,data structures|dp|greedy,859,0.739,Hard,
675D,Tree Construction,Heaps binary search trees segment trees hash tables etc|Trees,data structures|trees,2061,0.756,Hard,
675C,Money Transfers,Heaps binary search trees segment trees hash tables etc|Greedy algorithms|Sortings orderings,data structures|greedy|sortings,1956,0.739,Hard,
675B,Restoring Painting,Brute force|Constructive algorithms|Mathematics including integration differential equations etc,brute force|constructive algorithms|math,4375,0.433,Medium,
675A,Infinite Sequence,Mathematics including integration differential equations etc,math,6611,0.366,Easy,
673B,Problems for Round,Greedy algorithms|Implementation problems programming technics simulation,greedy|implementation,2450,0.353,Easy,
673A,Bear and Game,Implementation problems programming technics simulation,implementation,4450,0.0,Easy,
672B,Different is Good,Constructive algorithms|Implementation problems programming technics simulation|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,constructive algorithms|implementation|strings,5547,0.433,Medium,
672A,Summer Camp,Implementation problems programming technics simulation,implementation,6218,0.0,Easy,
