ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:12564
19628709,2016-08-04 19:32:46,703B - Mishka and trip,GNU C++11,Accepted,312 ms,3700 KB
6867960,2014-06-12 13:36:53,441D - Valera and Swaps,GNU C++,Wrong answer on test 2,15 ms,100 KB
6867654,2014-06-12 12:24:22,441D - Valera and Swaps,GNU C++,Wrong answer on test 10,15 ms,200 KB
6866002,2014-06-12 00:37:32,441D - Valera and Swaps,GNU C++,Wrong answer on test 4,0 ms,200 KB
6865377,2014-06-11 21:36:48,441D - Valera and Swaps,GNU C++,Wrong answer on test 4,31 ms,200 KB
6865347,2014-06-11 21:30:48,441D - Valera and Swaps,GNU C++,Wrong answer on test 4,15 ms,200 KB
6846788,2014-06-08 20:53:34,441C - Valera and Tubes,GNU C++,Accepted,124 ms,0 KB
6844098,2014-06-08 20:18:30,441B - Valera and Fruits,GNU C++,Accepted,30 ms,100 KB
6841927,2014-06-08 19:57:18,441A - Valera and Antique Items,GNU C++,Accepted,15 ms,3900 KB
6841156,2014-06-08 19:51:00,441A - Valera and Antique Items,GNU C++,Wrong answer on pretest 3,0 ms,3900 KB
6841087,2014-06-08 19:50:27,441A - Valera and Antique Items,GNU C++,Wrong answer on pretest 1,0 ms,3900 KB
6826579,2014-06-06 16:22:50,439C - Devu and Partitioning of the Array,GNU C++,Wrong answer on test 23,108 ms,5000 KB
6826411,2014-06-06 15:54:17,439C - Devu and Partitioning of the Array,GNU C++,Wrong answer on test 23,78 ms,5000 KB
6826187,2014-06-06 15:12:34,439C - Devu and Partitioning of the Array,GNU C++,Wrong answer on test 20,93 ms,5000 KB
6822749,2014-06-06 00:12:35,439C - Devu and Partitioning of the Array,GNU C++,Wrong answer on test 20,108 ms,5000 KB
6822744,2014-06-06 00:10:48,439C - Devu and Partitioning of the Array,GNU C++,Wrong answer on test 16,78 ms,5000 KB
6821468,2014-06-05 23:15:47,439C - Devu and Partitioning of the Array,GNU C++,Wrong answer on test 10,171 ms,5000 KB
6821372,2014-06-05 18:03:59,439C - Devu and Partitioning of the Array,GNU C++,Wrong answer on test 16,155 ms,5000 KB
6821341,2014-06-05 18:00:12,439C - Devu and Partitioning of the Array,GNU C++,Wrong answer on test 16,78 ms,5000 KB
6821103,2014-06-05 17:26:07,439B - Devu, the Dumb Guy,GNU C++,Accepted,93 ms,7800 KB
6821076,2014-06-05 17:23:15,439B - Devu, the Dumb Guy,GNU C++,Wrong answer on test 8,93 ms,39100 KB
6820711,2014-06-05 16:39:13,439A - Devu  the Singer and Churu  the Joker,GNU C++,Accepted,31 ms,0 KB
6820566,2014-06-05 16:22:50,439A - Devu  the Singer and Churu  the Joker,GNU C++,Wrong answer on test 3,15 ms,0 KB
6797463,2014-06-04 18:20:06,440C - One-Based Arithmetic,GNU C++,Accepted,46 ms,800 KB
6797451,2014-06-04 18:19:09,440C - One-Based Arithmetic,GNU C++,Wrong answer on test 1,0 ms,800 KB
6797423,2014-06-04 18:14:53,440C - One-Based Arithmetic,GNU C++,Wrong answer on test 13,15 ms,400 KB
6789936,2014-06-03 20:16:31,440C - One-Based Arithmetic,GNU C++,Wrong answer on pretest 3,15 ms,200 KB
6789801,2014-06-03 20:11:01,440C - One-Based Arithmetic,GNU C++,Wrong answer on pretest 3,0 ms,39100 KB
6788392,2014-06-03 19:32:47,440A - Forgotten Episode,GNU C++,Accepted,92 ms,1000 KB
6786081,2014-06-03 12:37:39,427B - Prison Transfer,GNU C++,Accepted,171 ms,7800 KB
6786078,2014-06-03 12:37:18,427B - Prison Transfer,GNU C++,Wrong answer on test 1,0 ms,7800 KB
6785914,2014-06-03 12:11:11,427B - Prison Transfer,GNU C++,Time limit exceeded on test 5,1000 ms,15700 KB
6785906,2014-06-03 12:09:56,427B - Prison Transfer,GNU C++,Time limit exceeded on test 5,1000 ms,15700 KB
6785821,2014-06-03 11:55:18,427A - Police Recruits,GNU C++,Accepted,46 ms,0 KB
6782690,2014-06-02 19:13:44,437A - The Child and Homework,GNU C++,Wrong answer on test 28,31 ms,0 KB
6782631,2014-06-02 19:04:49,437A - The Child and Homework,GNU C++,Wrong answer on test 28,46 ms,0 KB
6758015,2014-05-31 20:12:04,435C - Cardiogram,GNU C++,Accepted,62 ms,2000 KB
6758006,2014-05-31 20:10:26,435C - Cardiogram,GNU C++,Wrong answer on test 1,0 ms,2000 KB
6758001,2014-05-31 20:09:49,435C - Cardiogram,GNU C++,Compilation error,0 ms,0 KB
6757988,2014-05-31 20:08:18,435C - Cardiogram,GNU C++,Wrong answer on test 1,15 ms,2000 KB
6757976,2014-05-31 20:05:55,435C - Cardiogram,GNU C++,Wrong answer on test 1,15 ms,2000 KB
6756425,2014-05-31 13:57:41,433B - Kuriyama Mirai's Stones,GNU C++,Accepted,467 ms,6300 KB
6756408,2014-05-31 13:55:19,433B - Kuriyama Mirai's Stones,GNU C++,Wrong answer on test 4,62 ms,3100 KB
6756375,2014-05-31 13:50:04,433B - Kuriyama Mirai's Stones,GNU C++,Wrong answer on test 4,78 ms,3100 KB
6756302,2014-05-31 13:38:49,433B - Kuriyama Mirai's Stones,GNU C++,Time limit exceeded on test 5,2000 ms,1600 KB
6756108,2014-05-31 13:07:46,433A - Kitahara Haruki's Gift,GNU C++,Accepted,15 ms,0 KB
6756056,2014-05-31 12:58:27,433A - Kitahara Haruki's Gift,GNU C++,Wrong answer on test 13,15 ms,0 KB
6756029,2014-05-31 12:53:40,433A - Kitahara Haruki's Gift,GNU C++,Wrong answer on test 4,15 ms,0 KB
6751551,2014-05-30 21:45:15,435B - Pasha Maximizes,GNU C++,Accepted,30 ms,0 KB
6747337,2014-05-30 20:22:34,435B - Pasha Maximizes,GNU C++,Wrong answer on test 13,15 ms,0 KB
6744741,2014-05-30 19:54:19,435B - Pasha Maximizes,GNU C++,Wrong answer on pretest 5,30 ms,0 KB
6742286,2014-05-30 19:37:35,435A - Queue on Bus Stop,GNU C++,Accepted,15 ms,0 KB
6742027,2014-05-30 19:36:24,435A - Queue on Bus Stop,GNU C++,Wrong answer on pretest 1,0 ms,0 KB
5224298,2013-11-24 20:53:56,366B - Dima and To-do List,GNU C++0x,Accepted,62 ms,400 KB
5218897,2013-11-24 20:34:07,366B - Dima and To-do List,GNU C++0x,Wrong answer on pretest 6,46 ms,400 KB
5218542,2013-11-24 20:29:03,366B - Dima and To-do List,GNU C++0x,Wrong answer on pretest 3,15 ms,400 KB
5218001,2013-11-24 20:21:05,366B - Dima and To-do List,GNU C++0x,Wrong answer on pretest 3,0 ms,400 KB
5214978,2013-11-24 19:46:30,366A - Dima and Guards,GNU C++0x,Accepted,31 ms,0 KB
5158728,2013-11-19 20:30:44,365B - The Fibonacci Segment,GNU C++,Accepted,93 ms,800 KB
5158543,2013-11-19 20:28:52,365B - The Fibonacci Segment,GNU C++,Wrong answer on pretest 3,15 ms,800 KB
5156080,2013-11-19 20:04:54,365B - The Fibonacci Segment,GNU C++,Wrong answer on pretest 3,0 ms,800 KB
5155815,2013-11-19 20:03:07,365B - The Fibonacci Segment,GNU C++,Wrong answer on pretest 3,15 ms,800 KB
5152008,2013-11-19 19:44:38,365A - Good Number,GNU C++,Accepted,31 ms,0 KB
5079757,2013-11-13 00:05:36,340D - Bubble Sort Graph,GNU C++,Accepted,124 ms,800 KB
5048493,2013-11-10 21:56:41,361B - Levko and Permutation,GNU C++,Accepted,31 ms,0 KB
5048282,2013-11-10 21:52:51,361B - Levko and Permutation,GNU C++,Wrong answer on pretest 6,15 ms,0 KB
5047710,2013-11-10 21:43:25,361B - Levko and Permutation,GNU C++,Wrong answer on pretest 1,0 ms,0 KB
5045608,2013-11-10 21:17:17,361A - Levko and Table,GNU C++,Accepted,15 ms,0 KB
4938220,2013-10-30 23:57:59,116C - Party,GNU C++,Accepted,62 ms,300 KB
4938204,2013-10-30 23:52:19,116C - Party,GNU C++,Wrong answer on test 8,0 ms,200 KB
4938143,2013-10-30 23:37:56,278C - Learning Languages,GNU C++,Accepted,62 ms,300 KB
4938138,2013-10-30 23:36:37,278C - Learning Languages,GNU C++,Runtime error on test 15,30 ms,200 KB
4938114,2013-10-30 23:31:16,278C - Learning Languages,GNU C++,Wrong answer on test 4,30 ms,0 KB
4938026,2013-10-30 23:11:33,300B - Coach,GNU C++,Accepted,62 ms,0 KB
4938009,2013-10-30 23:07:16,300B - Coach,GNU C++,Runtime error on test 4,30 ms,0 KB
4937780,2013-10-30 22:15:51,129B - Students and Shoelaces,GNU C++,Accepted,62 ms,1000 KB
4937548,2013-10-30 21:32:22,129B - Students and Shoelaces,GNU C++,Wrong answer on test 51,30 ms,1000 KB
4937531,2013-10-30 21:30:11,129B - Students and Shoelaces,GNU C++,Wrong answer on test 51,30 ms,1000 KB
4937266,2013-10-30 21:00:46,129B - Students and Shoelaces,GNU C++,Wrong answer on test 6,0 ms,1000 KB
4434742,2013-09-09 12:57:46,340D - Bubble Sort Graph,GNU C++,Time limit exceeded on test 13,1000 ms,7800 KB
4434734,2013-09-09 12:55:35,340D - Bubble Sort Graph,GNU C++,Time limit exceeded on test 13,1000 ms,800 KB
4062509,2013-07-13 21:42:11,325A - Square and Rectangles,GNU C++,Memory limit exceeded on pretest 1,0 ms,262100 KB
4062055,2013-07-13 21:31:10,325A - Square and Rectangles,GNU C++,Memory limit exceeded on pretest 1,0 ms,262100 KB
2647081,2012-11-25 20:56:38,248B - Chilly Willy,GNU C++,Wrong answer on pretest 5,31 ms,0 KB
2646617,2012-11-25 20:40:38,248B - Chilly Willy,GNU C++,Wrong answer on pretest 5,31 ms,0 KB
2646395,2012-11-25 20:37:50,248B - Chilly Willy,GNU C++,Wrong answer on pretest 1,15 ms,0 KB
2643855,2012-11-25 19:51:11,248A - Cupboards,GNU C++,Accepted,46 ms,100 KB
2616335,2012-11-21 20:22:27,246B - Increase and Decrease,GNU C++,Accepted,62 ms,0 KB
2615651,2012-11-21 20:13:44,246B - Increase and Decrease,GNU C++,Wrong answer on pretest 5,15 ms,0 KB
2615279,2012-11-21 20:08:41,246B - Increase and Decrease,GNU C++,Wrong answer on pretest 5,31 ms,0 KB
2615046,2012-11-21 20:05:54,246B - Increase and Decrease,GNU C++,Wrong answer on pretest 5,15 ms,0 KB
2612261,2012-11-21 19:40:22,246A - Buggy Sorting,GNU C++,Wrong answer on pretest 3,31 ms,0 KB
2546118,2012-11-12 22:48:17,242A - Heads or Tails,GNU C++,Accepted,31 ms,0 KB
2546082,2012-11-12 22:35:38,242A - Heads or Tails,GNU C++,Wrong answer on test 5,15 ms,0 KB
2546063,2012-11-12 22:29:49,242A - Heads or Tails,GNU C++,Wrong answer on test 5,31 ms,0 KB
2442563,2012-10-27 16:43:04,237A - Free Cash,GNU C++,Accepted,156 ms,800 KB
2442509,2012-10-27 16:34:49,237A - Free Cash,GNU C++,Time limit exceeded on test 20,2000 ms,800 KB
2442488,2012-10-27 16:32:12,237A - Free Cash,GNU C++,Time limit exceeded on test 20,2000 ms,800 KB
2442470,2012-10-27 16:30:03,237A - Free Cash,GNU C++,Compilation error,0 ms,0 KB
2431533,2012-10-25 20:36:42,237A - Free Cash,GNU C++,Time limit exceeded on test 20,2000 ms,800 KB
2430804,2012-10-25 20:24:22,237A - Free Cash,GNU C++,Skipped,140 ms,800 KB
2430646,2012-10-25 20:21:48,237A - Free Cash,GNU C++,Time limit exceeded on pretest 10,2000 ms,800 KB
2429555,2012-10-25 20:04:57,237A - Free Cash,GNU C++,Wrong answer on pretest 7,31 ms,0 KB
2429126,2012-10-25 19:58:12,237A - Free Cash,GNU C++,Wrong answer on pretest 7,31 ms,0 KB
2420094,2012-10-24 10:34:01,231A - Team,GNU C++,Accepted,31 ms,0 KB
